year,month,scam_type,age_group,location,report_count,total_loss,date
2024,1,investment,35-44,SA,29,38971,2024-01-01
2020,11,identity theft,25-34,QLD,25,48700,2020-11-01
2020,7,financial fraud,35-44,NSW,17,49329,2020-07-01
2019,8,identity theft,65+,QLD,48,40349,2019-08-01
2020,2,phishing,35-44,NSW,17,1851,2020-02-01
2023,4,financial fraud,65+,VIC,10,41136,2023-04-01
2020,7,financial fraud,55-64,ACT,16,14191,2020-07-01
2022,11,identity theft,18-24,WA,31,36809,2022-11-01
2022,6,identity theft,25-34,TAS,41,23641,2022-06-01
2025,2,phishing,45-54,QLD,11,22438,2025-02-01
2022,4,financial fraud,35-44,ACT,26,1599,2022-04-01
2025,3,financial fraud,55-64,TAS,1,11959,2025-03-01
2022,9,financial fraud,45-54,NT,13,30658,2022-09-01
2023,6,financial fraud,35-44,TAS,4,20472,2023-06-01
2025,12,phishing,45-54,WA,2,30562,2025-12-01
2021,2,investment,25-34,NSW,21,6998,2021-02-01
2024,2,financial fraud,25-34,QLD,38,32211,2024-02-01
2019,3,task-based scam,35-44,VIC,7,11348,2019-03-01
2022,5,phishing,35-44,NT,48,14286,2022-05-01
2020,12,investment,18-24,VIC,2,20042,2020-12-01
2022,6,identity theft,25-34,VIC,32,14320,2022-06-01
2020,5,investment,55-64,QLD,45,38074,2020-05-01
2024,12,identity theft,45-54,VIC,19,40390,2024-12-01
2024,1,task-based scam,55-64,SA,10,43402,2024-01-01
2024,1,phishing,35-44,ACT,8,46286,2024-01-01
2020,7,investment,65+,ACT,20,13634,2020-07-01
2022,10,identity theft,65+,NSW,7,38489,2022-10-01
2024,7,financial fraud,18-24,ACT,45,4228,2024-07-01
2023,10,task-based scam,18-24,SA,42,29601,2023-10-01
2025,6,task-based scam,18-24,ACT,22,31960,2025-06-01
2020,9,phishing,35-44,NT,39,26121,2020-09-01
2020,2,phishing,35-44,WA,34,38345,2020-02-01
2022,1,phishing,45-54,SA,13,35561,2022-01-01
2020,11,phishing,18-24,SA,2,13863,2020-11-01
2020,6,financial fraud,65+,VIC,30,33970,2020-06-01
2024,6,task-based scam,65+,WA,13,15848,2024-06-01
2022,9,financial fraud,65+,VIC,41,20563,2022-09-01
2024,11,phishing,25-34,VIC,49,20597,2024-11-01
2025,10,investment,25-34,QLD,20,16782,2025-10-01
2025,1,identity theft,18-24,NSW,27,8457,2025-01-01
2024,11,investment,45-54,NT,47,16174,2024-11-01
2025,1,task-based scam,35-44,NT,39,41674,2025-01-01
2022,12,task-based scam,25-34,ACT,24,29527,2022-12-01
2019,12,financial fraud,45-54,TAS,27,3538,2019-12-01
2024,10,identity theft,55-64,SA,26,7269,2024-10-01
2023,12,phishing,18-24,VIC,30,42814,2023-12-01
2023,6,phishing,25-34,VIC,28,13014,2023-06-01
2020,5,investment,45-54,ACT,39,19482,2020-05-01
2025,11,identity theft,25-34,TAS,46,4458,2025-11-01
2023,6,financial fraud,65+,NT,29,14605,2023-06-01
2020,6,phishing,25-34,ACT,37,17922,2020-06-01
2019,4,task-based scam,18-24,TAS,28,13539,2019-04-01
2022,10,phishing,35-44,SA,26,27652,2022-10-01
2022,8,identity theft,35-44,VIC,34,26685,2022-08-01
2022,5,task-based scam,45-54,SA,23,39335,2022-05-01
2023,6,financial fraud,18-24,SA,21,8460,2023-06-01
2019,2,phishing,35-44,WA,12,26288,2019-02-01
2023,1,task-based scam,45-54,ACT,26,29970,2023-01-01
2025,8,financial fraud,45-54,ACT,24,29287,2025-08-01
2023,6,identity theft,45-54,VIC,18,47990,2023-06-01
2019,9,financial fraud,25-34,NT,16,7171,2019-09-01
2019,5,financial fraud,45-54,ACT,8,19453,2019-05-01
2025,8,task-based scam,65+,QLD,7,35834,2025-08-01
2019,7,phishing,55-64,WA,48,25498,2019-07-01
2019,11,task-based scam,55-64,QLD,19,3408,2019-11-01
2022,10,investment,65+,VIC,16,42043,2022-10-01
2025,1,task-based scam,55-64,QLD,23,16766,2025-01-01
2021,7,task-based scam,55-64,TAS,47,25198,2021-07-01
2021,4,phishing,25-34,NT,36,42587,2021-04-01
2019,6,identity theft,55-64,SA,8,29419,2019-06-01
2021,9,investment,18-24,NT,21,46562,2021-09-01
2021,9,phishing,45-54,SA,40,12565,2021-09-01
2019,9,phishing,45-54,WA,29,35149,2019-09-01
2021,5,financial fraud,45-54,NT,36,37333,2021-05-01
2023,4,investment,18-24,TAS,31,24045,2023-04-01
2020,6,financial fraud,55-64,SA,35,3835,2020-06-01
2025,10,financial fraud,55-64,VIC,49,2042,2025-10-01
2020,5,phishing,65+,SA,16,25331,2020-05-01
2019,12,identity theft,25-34,SA,34,5770,2019-12-01
2022,10,phishing,25-34,VIC,3,5172,2022-10-01
2025,5,task-based scam,25-34,QLD,2,49998,2025-05-01
2019,8,identity theft,65+,NSW,3,31156,2019-08-01
2022,10,investment,35-44,TAS,10,15220,2022-10-01
2020,5,identity theft,25-34,VIC,22,11147,2020-05-01
2019,1,investment,45-54,TAS,32,3393,2019-01-01
2025,5,financial fraud,55-64,SA,31,34684,2025-05-01
2025,5,phishing,35-44,NSW,32,23576,2025-05-01
2024,5,phishing,35-44,NT,42,7026,2024-05-01
2023,12,task-based scam,35-44,VIC,32,20079,2023-12-01
2021,3,phishing,25-34,QLD,33,17318,2021-03-01
2022,12,identity theft,18-24,VIC,20,36172,2022-12-01
2024,12,task-based scam,35-44,NT,32,20629,2024-12-01
2021,9,phishing,35-44,SA,29,10824,2021-09-01
2021,5,task-based scam,25-34,WA,28,13052,2021-05-01
2019,12,phishing,55-64,TAS,39,25096,2019-12-01
2021,2,phishing,45-54,NT,24,43698,2021-02-01
2023,5,financial fraud,55-64,SA,48,15793,2023-05-01
2025,9,phishing,65+,VIC,47,44672,2025-09-01
2024,8,phishing,55-64,WA,11,31709,2024-08-01
2021,6,identity theft,65+,VIC,22,47248,2021-06-01
2019,9,investment,35-44,TAS,32,1430,2019-09-01
2023,7,identity theft,35-44,TAS,32,34622,2023-07-01
2020,2,task-based scam,55-64,QLD,12,27140,2020-02-01
2025,1,task-based scam,35-44,VIC,37,33221,2025-01-01
2025,3,phishing,35-44,NSW,8,4864,2025-03-01
2024,11,phishing,45-54,VIC,24,31704,2024-11-01
2025,4,financial fraud,45-54,SA,1,29576,2025-04-01
2021,9,phishing,65+,QLD,25,38167,2021-09-01
2019,5,identity theft,35-44,ACT,49,23688,2019-05-01
2025,2,identity theft,65+,SA,29,36996,2025-02-01
2025,10,identity theft,55-64,TAS,41,27180,2025-10-01
2020,5,identity theft,35-44,SA,12,23487,2020-05-01
2020,2,investment,65+,WA,18,4797,2020-02-01
2022,9,identity theft,18-24,ACT,19,48106,2022-09-01
2023,6,identity theft,45-54,NT,30,27741,2023-06-01
2021,12,task-based scam,65+,ACT,45,25098,2021-12-01
2025,12,task-based scam,18-24,NSW,9,28119,2025-12-01
2025,12,task-based scam,55-64,NSW,37,21578,2025-12-01
2019,5,phishing,55-64,NT,6,15402,2019-05-01
2022,2,task-based scam,65+,VIC,6,44068,2022-02-01
2023,7,phishing,55-64,ACT,3,44856,2023-07-01
2022,7,task-based scam,65+,TAS,30,6366,2022-07-01
2024,2,identity theft,65+,ACT,6,19598,2024-02-01
2023,10,task-based scam,25-34,SA,40,5009,2023-10-01
2025,6,financial fraud,18-24,WA,16,10195,2025-06-01
2025,10,phishing,25-34,VIC,2,20671,2025-10-01
2023,10,identity theft,35-44,WA,43,47920,2023-10-01
2025,3,identity theft,18-24,ACT,22,31408,2025-03-01
2021,8,identity theft,45-54,QLD,5,43838,2021-08-01
2023,5,task-based scam,25-34,QLD,1,42125,2023-05-01
2022,8,phishing,18-24,ACT,30,16092,2022-08-01
2023,7,identity theft,18-24,ACT,4,31834,2023-07-01
2025,11,identity theft,55-64,SA,36,24352,2025-11-01
2021,8,task-based scam,65+,ACT,11,29500,2021-08-01
2021,12,identity theft,65+,TAS,10,41133,2021-12-01
2024,1,identity theft,25-34,VIC,37,49841,2024-01-01
2022,6,investment,35-44,SA,3,31834,2022-06-01
2020,11,task-based scam,35-44,TAS,42,25639,2020-11-01
2020,12,investment,45-54,QLD,29,29911,2020-12-01
2023,3,investment,35-44,TAS,17,44129,2023-03-01
2024,5,task-based scam,35-44,NSW,5,43426,2024-05-01
2019,2,identity theft,55-64,WA,26,14513,2019-02-01
2023,11,identity theft,55-64,NT,20,3813,2023-11-01
2024,4,phishing,35-44,NSW,37,37003,2024-04-01
2022,6,phishing,18-24,VIC,4,18171,2022-06-01
2022,1,task-based scam,55-64,NT,10,40979,2022-01-01
2022,2,financial fraud,45-54,NSW,43,39867,2022-02-01
2022,2,investment,18-24,QLD,14,42388,2022-02-01
2022,9,task-based scam,18-24,NSW,29,46468,2022-09-01
2024,11,identity theft,65+,TAS,43,29735,2024-11-01
2024,12,investment,25-34,NSW,24,12938,2024-12-01
2021,5,phishing,55-64,WA,14,39458,2021-05-01
2020,5,investment,65+,ACT,39,18692,2020-05-01
2025,6,phishing,65+,VIC,2,43527,2025-06-01
2022,10,task-based scam,65+,ACT,10,43803,2022-10-01
2019,3,phishing,35-44,ACT,14,31674,2019-03-01
2025,9,task-based scam,18-24,ACT,5,20064,2025-09-01
2024,3,task-based scam,35-44,WA,38,25791,2024-03-01
2019,4,identity theft,55-64,NSW,7,43230,2019-04-01
2019,12,financial fraud,25-34,TAS,23,19030,2019-12-01
2019,9,financial fraud,45-54,QLD,9,24110,2019-09-01
2021,10,financial fraud,45-54,NSW,4,41644,2021-10-01
2024,8,task-based scam,18-24,NT,49,17956,2024-08-01
2019,6,task-based scam,45-54,VIC,10,48357,2019-06-01
2022,8,identity theft,45-54,NT,34,10878,2022-08-01
2023,1,identity theft,65+,NT,33,26331,2023-01-01
2019,4,phishing,35-44,SA,45,8882,2019-04-01
2021,10,phishing,55-64,TAS,21,32612,2021-10-01
2025,11,task-based scam,45-54,QLD,14,18986,2025-11-01
2024,4,financial fraud,45-54,NSW,23,15627,2024-04-01
2021,2,investment,55-64,ACT,44,4585,2021-02-01
2019,2,identity theft,18-24,ACT,28,35919,2019-02-01
2024,11,investment,35-44,NSW,22,27248,2024-11-01
2023,10,investment,18-24,QLD,38,13251,2023-10-01
2019,9,task-based scam,45-54,NT,37,30045,2019-09-01
2021,6,phishing,65+,QLD,34,20252,2021-06-01
2020,7,financial fraud,45-54,QLD,10,10228,2020-07-01
2022,11,investment,18-24,ACT,28,17924,2022-11-01
2025,11,identity theft,35-44,NT,48,27313,2025-11-01
2021,4,identity theft,18-24,NT,8,19689,2021-04-01
2024,3,identity theft,18-24,VIC,16,30931,2024-03-01
2019,3,investment,18-24,NSW,11,39058,2019-03-01
2022,5,phishing,45-54,NSW,4,33028,2022-05-01
2019,11,financial fraud,25-34,SA,18,2763,2019-11-01
2024,6,investment,35-44,QLD,6,28574,2024-06-01
2019,2,phishing,25-34,TAS,19,13178,2019-02-01
2020,7,financial fraud,18-24,ACT,48,4148,2020-07-01
2022,7,financial fraud,55-64,SA,12,30668,2022-07-01
2022,1,financial fraud,65+,QLD,46,29061,2022-01-01
2024,12,financial fraud,65+,NT,31,23292,2024-12-01
2025,7,financial fraud,45-54,VIC,10,24612,2025-07-01
2020,4,phishing,55-64,WA,33,26707,2020-04-01
2021,4,financial fraud,65+,NT,41,22261,2021-04-01
2019,3,investment,55-64,NSW,5,33198,2019-03-01
2023,9,phishing,18-24,ACT,2,4930,2023-09-01
2019,3,financial fraud,18-24,VIC,34,24095,2019-03-01
2019,4,phishing,55-64,QLD,9,29793,2019-04-01
2021,3,phishing,55-64,VIC,34,11105,2021-03-01
2019,8,identity theft,55-64,SA,3,11175,2019-08-01
2020,8,phishing,25-34,SA,43,4065,2020-08-01
2020,10,identity theft,45-54,NSW,9,19974,2020-10-01
2022,8,task-based scam,65+,ACT,28,42646,2022-08-01
2024,5,identity theft,65+,NT,33,193,2024-05-01
2025,7,task-based scam,18-24,QLD,45,27694,2025-07-01
2023,12,task-based scam,35-44,VIC,15,1089,2023-12-01
2019,3,task-based scam,25-34,QLD,12,40243,2019-03-01
2019,8,identity theft,35-44,SA,38,49068,2019-08-01
2021,10,phishing,45-54,ACT,49,31437,2021-10-01
2024,2,financial fraud,55-64,QLD,13,32008,2024-02-01
2020,8,task-based scam,35-44,SA,4,38140,2020-08-01
2023,6,financial fraud,45-54,NSW,5,23404,2023-06-01
2022,2,phishing,18-24,WA,24,22180,2022-02-01
2020,12,task-based scam,45-54,WA,39,25431,2020-12-01
2024,6,task-based scam,45-54,QLD,6,22915,2024-06-01
2025,11,task-based scam,45-54,VIC,18,12791,2025-11-01
2022,10,task-based scam,18-24,TAS,5,48293,2022-10-01
2025,2,identity theft,55-64,SA,38,26493,2025-02-01
2021,3,identity theft,25-34,TAS,12,36627,2021-03-01
2021,11,investment,55-64,SA,34,38727,2021-11-01
2019,5,financial fraud,18-24,QLD,9,21356,2019-05-01
2025,1,financial fraud,18-24,NSW,21,36216,2025-01-01
2024,9,investment,25-34,QLD,5,27390,2024-09-01
2023,10,identity theft,45-54,WA,47,10227,2023-10-01
2022,3,investment,25-34,WA,41,4986,2022-03-01
2020,12,task-based scam,35-44,NT,13,36547,2020-12-01
2024,1,identity theft,45-54,SA,38,9536,2024-01-01
2024,6,task-based scam,35-44,SA,22,22818,2024-06-01
2021,1,investment,35-44,NT,2,17057,2021-01-01
2025,3,financial fraud,45-54,TAS,29,36196,2025-03-01
2019,7,phishing,45-54,NT,17,8108,2019-07-01
2019,4,phishing,18-24,QLD,12,6090,2019-04-01
2022,9,task-based scam,18-24,NT,27,42918,2022-09-01
2021,7,phishing,45-54,ACT,13,15405,2021-07-01
2024,5,task-based scam,55-64,WA,45,27476,2024-05-01
2023,9,investment,55-64,SA,47,46911,2023-09-01
2021,3,identity theft,18-24,NSW,4,37511,2021-03-01
2022,11,financial fraud,35-44,WA,33,4725,2022-11-01
2022,8,task-based scam,18-24,VIC,32,22259,2022-08-01
2021,8,identity theft,65+,QLD,21,10808,2021-08-01
2022,4,identity theft,65+,SA,18,26789,2022-04-01
2021,1,task-based scam,18-24,NT,18,3310,2021-01-01
2020,4,financial fraud,45-54,NT,40,5901,2020-04-01
2021,9,financial fraud,65+,NT,34,22758,2021-09-01
2025,10,identity theft,18-24,NSW,5,18215,2025-10-01
2021,1,phishing,45-54,NSW,41,47022,2021-01-01
2022,3,identity theft,25-34,WA,8,25925,2022-03-01
2025,8,investment,18-24,NSW,45,11899,2025-08-01
2022,3,task-based scam,35-44,NSW,36,15354,2022-03-01
2019,2,identity theft,25-34,QLD,45,32562,2019-02-01
2019,1,financial fraud,35-44,VIC,34,49850,2019-01-01
2025,9,investment,35-44,NT,33,8749,2025-09-01
2020,11,identity theft,25-34,NSW,14,23124,2020-11-01
2019,10,task-based scam,65+,NT,24,4733,2019-10-01
2021,3,task-based scam,65+,WA,16,402,2021-03-01
2022,7,task-based scam,18-24,WA,2,16793,2022-07-01
2019,10,financial fraud,55-64,VIC,31,19480,2019-10-01
2019,3,task-based scam,65+,SA,24,47732,2019-03-01
2020,8,investment,35-44,VIC,25,7765,2020-08-01
2025,9,phishing,45-54,TAS,31,38611,2025-09-01
2025,12,investment,55-64,NT,30,17254,2025-12-01
2024,8,financial fraud,18-24,NSW,13,12171,2024-08-01
2020,5,financial fraud,35-44,NSW,6,32081,2020-05-01
2021,11,investment,45-54,NSW,47,13824,2021-11-01
2025,10,investment,25-34,NSW,30,18400,2025-10-01
2022,12,investment,65+,TAS,15,44722,2022-12-01
2020,2,financial fraud,45-54,WA,26,12568,2020-02-01
2019,6,task-based scam,65+,ACT,29,40376,2019-06-01
2022,8,financial fraud,65+,VIC,16,1267,2022-08-01
2022,2,task-based scam,65+,NT,31,27112,2022-02-01
2019,6,investment,18-24,VIC,48,566,2019-06-01
2020,7,task-based scam,45-54,NT,31,47756,2020-07-01
2019,9,identity theft,65+,VIC,10,39429,2019-09-01
2024,11,phishing,25-34,TAS,29,8425,2024-11-01
2022,9,task-based scam,18-24,TAS,12,44338,2022-09-01
2023,2,phishing,65+,VIC,26,3429,2023-02-01
2023,1,investment,45-54,QLD,34,10438,2023-01-01
2021,7,phishing,55-64,ACT,21,38797,2021-07-01
2025,6,identity theft,45-54,WA,6,2379,2025-06-01
2019,10,financial fraud,55-64,NT,40,31427,2019-10-01
2019,10,phishing,25-34,QLD,42,21372,2019-10-01
2021,10,financial fraud,25-34,NT,35,15903,2021-10-01
2021,12,financial fraud,35-44,WA,37,23192,2021-12-01
2021,4,task-based scam,45-54,TAS,47,27953,2021-04-01
2022,11,phishing,25-34,QLD,23,30740,2022-11-01
2024,11,task-based scam,18-24,TAS,37,22030,2024-11-01
2019,9,phishing,55-64,ACT,25,32944,2019-09-01
2022,1,identity theft,65+,QLD,1,42911,2022-01-01
2021,7,identity theft,45-54,TAS,44,47067,2021-07-01
2019,5,task-based scam,65+,WA,27,28122,2019-05-01
2022,5,investment,55-64,ACT,46,46319,2022-05-01
2024,6,financial fraud,25-34,SA,33,30357,2024-06-01
2022,2,financial fraud,55-64,ACT,6,6178,2022-02-01
2024,11,phishing,55-64,QLD,19,26055,2024-11-01
2021,11,identity theft,55-64,NSW,6,29496,2021-11-01
2024,3,task-based scam,55-64,VIC,15,49199,2024-03-01
2019,11,investment,35-44,TAS,36,22679,2019-11-01
2021,9,phishing,45-54,NT,40,47712,2021-09-01
2019,4,identity theft,18-24,NSW,40,14725,2019-04-01
2023,6,investment,18-24,VIC,41,409,2023-06-01
2020,3,investment,45-54,WA,46,48339,2020-03-01
2024,3,task-based scam,25-34,SA,42,40993,2024-03-01
2020,9,task-based scam,55-64,VIC,39,30786,2020-09-01
2020,9,identity theft,18-24,TAS,11,7486,2020-09-01
2024,3,task-based scam,25-34,TAS,1,40120,2024-03-01
2021,3,phishing,25-34,QLD,5,644,2021-03-01
2023,6,financial fraud,25-34,VIC,27,19428,2023-06-01
2019,1,phishing,45-54,WA,16,5552,2019-01-01
2022,5,phishing,35-44,TAS,37,11576,2022-05-01
2019,9,investment,45-54,NT,35,3004,2019-09-01
2022,9,identity theft,65+,NT,32,31489,2022-09-01
2019,8,identity theft,18-24,TAS,46,1208,2019-08-01
2024,6,investment,35-44,ACT,15,23225,2024-06-01
2023,9,phishing,55-64,QLD,17,47407,2023-09-01
2022,3,phishing,45-54,WA,44,16567,2022-03-01
2025,9,financial fraud,55-64,SA,28,19214,2025-09-01
2021,8,financial fraud,65+,TAS,19,9004,2021-08-01
2019,12,identity theft,18-24,NSW,6,6323,2019-12-01
2019,1,phishing,18-24,SA,4,44479,2019-01-01
2022,9,financial fraud,65+,NSW,37,39140,2022-09-01
2021,8,investment,65+,QLD,35,15843,2021-08-01
2021,8,phishing,55-64,QLD,24,46159,2021-08-01
2024,6,task-based scam,35-44,ACT,1,30144,2024-06-01
2025,9,financial fraud,55-64,NSW,16,36894,2025-09-01
2024,8,investment,18-24,VIC,34,2165,2024-08-01
2024,2,investment,35-44,NT,15,47921,2024-02-01
2024,6,task-based scam,18-24,ACT,6,31830,2024-06-01
2024,12,financial fraud,25-34,ACT,48,44210,2024-12-01
2024,11,identity theft,18-24,QLD,4,24025,2024-11-01
2023,8,investment,55-64,TAS,20,4928,2023-08-01
2021,6,phishing,55-64,TAS,18,30933,2021-06-01
2024,11,identity theft,25-34,ACT,44,25515,2024-11-01
2021,9,investment,18-24,NT,15,40868,2021-09-01
2021,12,investment,55-64,NSW,11,29206,2021-12-01
2020,5,task-based scam,18-24,NT,9,36558,2020-05-01
2023,8,financial fraud,65+,SA,3,892,2023-08-01
2024,10,financial fraud,65+,WA,6,10808,2024-10-01
2019,2,task-based scam,18-24,QLD,24,49034,2019-02-01
2022,12,task-based scam,65+,NT,45,44442,2022-12-01
2025,5,identity theft,45-54,NSW,10,8768,2025-05-01
2019,1,identity theft,25-34,QLD,27,37610,2019-01-01
2023,5,task-based scam,55-64,NSW,8,35807,2023-05-01
2022,7,identity theft,35-44,NSW,39,13170,2022-07-01
2023,1,phishing,18-24,TAS,9,6591,2023-01-01
2021,10,task-based scam,45-54,TAS,37,37620,2021-10-01
2022,3,financial fraud,25-34,WA,15,21967,2022-03-01
2021,6,financial fraud,45-54,ACT,13,45969,2021-06-01
2019,12,task-based scam,25-34,TAS,48,5504,2019-12-01
2019,1,financial fraud,25-34,ACT,46,17314,2019-01-01
2022,3,investment,45-54,TAS,39,48661,2022-03-01
2022,8,phishing,45-54,ACT,31,33352,2022-08-01
2024,9,investment,65+,WA,49,15169,2024-09-01
2023,7,task-based scam,55-64,NT,47,15660,2023-07-01
2024,4,financial fraud,18-24,WA,47,27544,2024-04-01
2023,7,identity theft,35-44,ACT,12,3779,2023-07-01
2024,7,investment,55-64,NSW,1,6263,2024-07-01
2021,11,investment,55-64,WA,6,141,2021-11-01
2022,7,financial fraud,45-54,WA,14,5014,2022-07-01
2019,8,identity theft,25-34,QLD,8,2640,2019-08-01
2023,11,task-based scam,25-34,SA,40,32538,2023-11-01
2023,4,financial fraud,35-44,NSW,36,36289,2023-04-01
2019,4,phishing,65+,SA,29,40291,2019-04-01
2024,9,phishing,18-24,TAS,46,5321,2024-09-01
2023,8,task-based scam,65+,QLD,7,33517,2023-08-01
2025,11,task-based scam,55-64,NSW,16,30136,2025-11-01
2021,4,phishing,35-44,QLD,3,9519,2021-04-01
2022,6,identity theft,25-34,WA,45,16557,2022-06-01
2019,9,task-based scam,65+,NSW,42,9594,2019-09-01
2022,12,phishing,55-64,VIC,21,30174,2022-12-01
2025,6,identity theft,45-54,ACT,14,39042,2025-06-01
2023,11,identity theft,65+,NT,5,28998,2023-11-01
2023,5,task-based scam,55-64,NSW,46,16621,2023-05-01
2025,12,investment,65+,TAS,12,17146,2025-12-01
2019,7,identity theft,55-64,QLD,24,40564,2019-07-01
2021,2,task-based scam,18-24,ACT,39,48872,2021-02-01
2020,8,identity theft,35-44,NSW,33,38470,2020-08-01
2019,11,financial fraud,18-24,QLD,20,32745,2019-11-01
2020,7,identity theft,45-54,TAS,45,28908,2020-07-01
2025,6,investment,18-24,ACT,48,40965,2025-06-01
2024,3,identity theft,18-24,NT,27,10176,2024-03-01
2020,9,investment,45-54,ACT,44,13760,2020-09-01
2021,2,phishing,65+,TAS,43,35319,2021-02-01
2024,4,investment,65+,TAS,33,14245,2024-04-01
2020,2,identity theft,55-64,QLD,38,30015,2020-02-01
2025,6,phishing,65+,ACT,40,38975,2025-06-01
2024,12,phishing,35-44,NT,2,37579,2024-12-01
2025,7,phishing,25-34,WA,10,12230,2025-07-01
2020,9,phishing,65+,SA,42,42069,2020-09-01
2025,6,identity theft,35-44,TAS,29,7557,2025-06-01
2021,6,task-based scam,55-64,WA,2,47780,2021-06-01
2020,5,investment,35-44,NSW,4,22236,2020-05-01
2020,10,task-based scam,25-34,QLD,16,7649,2020-10-01
2020,11,task-based scam,18-24,NSW,5,19204,2020-11-01
2019,12,investment,45-54,QLD,24,3086,2019-12-01
2019,10,financial fraud,45-54,NSW,20,12964,2019-10-01
2019,4,investment,25-34,QLD,9,27680,2019-04-01
2021,10,financial fraud,35-44,VIC,31,321,2021-10-01
2024,11,investment,45-54,QLD,44,32374,2024-11-01
2025,4,task-based scam,65+,WA,41,19853,2025-04-01
2023,4,task-based scam,18-24,VIC,13,48574,2023-04-01
2020,5,investment,35-44,ACT,9,5398,2020-05-01
2025,1,phishing,18-24,NT,19,8057,2025-01-01
2020,2,financial fraud,25-34,NT,11,19383,2020-02-01
2021,3,phishing,35-44,NT,22,27407,2021-03-01
2020,7,financial fraud,45-54,VIC,8,42479,2020-07-01
2019,1,task-based scam,25-34,NT,45,4120,2019-01-01
2023,3,financial fraud,65+,QLD,12,1629,2023-03-01
2022,7,task-based scam,65+,NT,14,49141,2022-07-01
2020,6,investment,35-44,NT,42,30354,2020-06-01
2025,2,investment,25-34,NT,25,26016,2025-02-01
2019,4,identity theft,35-44,NSW,47,33551,2019-04-01
2022,1,identity theft,18-24,NSW,20,47172,2022-01-01
2023,12,investment,65+,TAS,1,43495,2023-12-01
2022,5,identity theft,45-54,NSW,11,36556,2022-05-01
2019,12,investment,45-54,ACT,34,31220,2019-12-01
2024,2,phishing,25-34,NT,42,9655,2024-02-01
2024,8,task-based scam,55-64,NT,47,32613,2024-08-01
